date,downloads
2025-10-07,1646
2025-10-08,1235
2025-10-09,1505
2025-10-10,804
2025-10-11,489
2025-10-12,411
2025-10-13,692
2025-10-14,748
2025-10-15,955
2025-10-16,1930
2025-10-17,770
2025-10-18,542
2025-10-19,500
2025-10-20,731
2025-10-21,810
2025-10-22,850
2025-10-23,838
2025-10-24,961
2025-10-25,532
2025-10-26,414
2025-10-27,1254
2025-10-28,1463
2025-10-29,1469
2025-10-30,1888
2025-10-31,937
2025-11-01,715
2025-11-02,1382
2025-11-03,2967
2025-11-04,1469
2025-11-05,1782
2025-11-06,1300
2025-11-07,1670
2025-11-08,1429
2025-11-09,2344
2025-11-10,1824
2025-11-11,1337
2025-11-12,996
2025-11-13,1230
2025-11-14,1071
2025-11-15,2975
2025-11-16,3568
2025-11-17,2195
2025-11-18,1894
2025-11-19,1812
2025-11-20,2054
2025-11-21,1853
2025-11-22,951
2025-11-23,686
2025-11-24,1078
2025-11-25,1000
2025-11-26,623
2025-11-27,432
2025-11-28,407
2025-11-29,253
2025-11-30,488
2025-12-01,734
2025-12-02,879
2025-12-03,909
2025-12-04,722
2025-12-05,866
2025-12-06,317
2025-12-07,424
2025-12-08,677
2025-12-09,982
2025-12-10,692
2025-12-11,862
2025-12-12,912
2025-12-13,477
2025-12-14,369
2025-12-15,759
2025-12-16,576
2025-12-17,1024
2025-12-18,800
2025-12-19,630
2025-12-20,735
2025-12-21,334
2025-12-22,497
2025-12-23,555
2025-12-24,425
2025-12-25,358
2025-12-26,389
2025-12-27,366
2025-12-28,1411
2025-12-29,1690
2025-12-30,2370
2025-12-31,1928
2026-01-01,2018
2026-01-02,1977
2026-01-03,1195
2026-01-04,2169
2026-01-05,2423
2026-01-06,1856
2026-01-07,1438
2026-01-08,1817
2026-01-09,1391
2026-01-10,1289
2026-01-11,1356
2026-01-12,1965
2026-01-13,1628
2026-01-14,1442
2026-01-15,1203
2026-01-16,1310
2026-01-17,1133
2026-01-18,1245
2026-01-19,549
2026-01-20,1344
2026-01-21,699
2026-01-22,2705
2026-01-23,2020
2026-01-24,2615
2026-01-25,4922
2026-01-26,4432
2026-01-27,5821
2026-01-28,5714
2026-01-29,3801
2026-01-30,2195
2026-01-31,1343
2026-02-01,1928
